paises;fecha;deficit_millones;deficit_pbi;deuda_millones;deuda_pbi;deuda_per_capita
Seychelles;2020;-218;-15,75;1.071;77,37;11.039
Sudan;2020;-2.126;-6,03;98.077;278,33;2.096
Sweden;2020;-17.308;-3,2;218.817;40,4;21.082
Singapore;2020;-23.999;-6,73;528.183;148,21;92.892
Slovenia;2020;-4.095;-7,7;42.764;80,2;20.277
Slovakia;2020;-5.701;-5,3;62.874;58,4;11.516
Sierra Leone;2020;-234;-3,5;3.098;46,37;392
San Marino;2020;-580;-37,59;1.077;69,79;30.954
Senegal;2020;-2.364;-9,64;22.137;90,23;1.322
Suriname;2020;-348;-11,95;4.264;146,44;7.002
South Sudan;2020;-298;-5,5;2.656;48,98;248
Sao Tome and Principe;2020;14;2,94;433;90,96;1.991
El Salvador;2020;-2.038;-8,18;23.766;95,37;3.812
Syria;2009;-1.560;-2,89;16.835;31,21;798
Eswatini;2020;-184;-4,51;1.576;38,65;1.321
Chad;2020;183;1,24;6.180;41,72;376
Togo;2020;-522;-7,05;4.604;62,21;531
Thailand;2020;-22.680;-4,47;250.792;49,42;3.593
Tajikistan;2020;-353;-4,34;4.143;50,94;425
East Timor;2020;-409;-18,9;218;10,09;166
Turkmenistan;2020;-72;-0,16;6.981;15,36;1.117
Tunisia;2020;-3.849;-9,06;33.021;77,71;2.758
Tonga;2020;26;5,25;214;42,55;2.138
Türkiye;2020;-33.856;-4,64;282.872;38,73;3.383
Trinidad and Tobago;2020;-2.549;-11,78;13.052;60,3;9.329
Tuvalu;2020;7;13,69;6;12,1;628
Taiwan;2020;-19.703;-2,91;216.313;31,96;9.181
Tanzania;2020;-1.621;-2,56;26.154;41,27;429
Ukraine;2020;-9.266;-5,92;94.731;60,51;2.287
Uganda;2020;-2.940;-7,76;17.559;46,35;426
Uruguay;2020;-2.483;-4,64;36.536;68,22;10.409
Uzbekistan;2020;-1.960;-2,95;22.373;33,67;660
Saint Vincent and the Grenadines;2020;-51;-5,92;692;80,16;6.238
Venezuela;2017;-26.649;-13,27;30.110;133,61;985
Viet Nam;2020;-9.909;-2,86;143.092;41,32;1.466
Vanuatu;2020;-20;-1,95;484;48,03;1.603
Samoa;2020;47;5,41;375;43,19;1.857
Yemen;2020;-870;-4,3;17.591;87;487
South Africa;2020;-32.508;-9,62;232.888;68,93;3.881
Zambia;2020;-2.496;-13,76;25.393;140;1.342
Zimbabwe;2020;-3;-0,34;466;56,81;30
Spain;2017;-40.912;-3,07;1.336.407;101,2;28.642
Germany;2017;50.333;1,3;2.408.516;64;29.091
United Kingdom;2017;-66.821;-2,4;2.326.239;86,3;35.101
France;2017;-87.082;-3,4;2.554.888;98,8;38.118
Italy;2017;-49.425;-2,5;2.634.732;133,7;43.958
Portugal;2017;-6.628;-3;278.254;126;26.921
United States;2017;-940.242;-4,79;20.862.187;106,37;64.136
Japan;2017;-152.797;-3,1;11.406.050;231,32;89.991
China;2017;-417.447;-3,34;6.739.685;53,9;4.814
Andorra;2017;100;3,34;1.133;37,85;15.142
United Arab Emirates;2017;-642;-0,16;85.381;21,17;9.166
Afghanistan;2017;-127;-0,67;1.510;8;42
Antigua and Barbuda;2017;-42;-2,72;1.353;88,18;14.399
Albania;2017;-183;-1,41;9.384;71,9;3.269
Armenia;2017;-552;-4,79;6.696;58,09;2.253
Angola;2017;-8.037;-5,75;84.589;60,49;2.800
Argentina;2017;-43.096;-6,69;367.180;57,03;8.336
Austria;2017;-3.217;-0,8;327.913;79,1;37.169
Australia;2017;-23.728;-1,72;568.954;41,2;22.980
Azerbaijan;2017;-555;-1,34;9.313;22,51;941
Bosnia and Herzegovina;2017;329;1,79;7.091;38,62;2.026
Barbados;2017;-214;-3,87;7.921;142,85;27.695
Bangladesh;2017;-12.241;-4,17;83.150;28,31;521
Belgium;2017;-3.821;-0,8;513.178;102,6;45.021
Burkina Faso;2017;-975;-6,92;4.776;33,89;240
